precision,recall,threshold
0.03496352766338813,0.9996756406097956,0.035600133
0.03496392430911648,0.9996756406097956,0.035619423
0.03496432096384449,0.9996756406097956,0.035698317
0.034965114300300644,0.9996756406097956,0.035705794
0.03496551098202941,0.9996756406097956,0.035721533
0.03496590767275904,0.9996756406097956,0.035726238
0.03496630437248985,0.9996756406097956,0.035734367
0.034966701081222136,0.9996756406097956,0.035778146
0.03496709779895621,0.9996756406097956,0.035850924
0.03496749452569237,0.9996756406097956,0.035854694
0.03496789126143094,0.9996756406097956,0.035895675
0.03496828800617221,0.9996756406097956,0.035992082
0.03496868475991649,0.9996756406097956,0.03601577
0.03496908152266409,0.9996756406097956,0.0360762
0.034969478294415324,0.9996756406097956,0.03610578
0.03496987507517048,0.9996756406097956,0.036110148
0.034970271864929875,0.9996756406097956,0.03611185
0.03497066866369382,0.9996756406097956,0.036128752
0.034971065471462615,0.9996756406097956,0.036338516
0.03497146228823656,0.9996756406097956,0.036372956
0.03497185911401598,0.9996756406097956,0.036396712
0.03497225594880116,0.9996756406097956,0.036494426
0.03497265279259242,0.9996756406097956,0.0365682
0.034973049645390074,0.9996756406097956,0.036581196
0.03497344650719441,0.9996756406097956,0.036595643
0.03497384337800574,0.9996756406097956,0.03659941
0.03497424025782438,0.9996756406097956,0.03662842
0.034974637146650625,0.9996756406097956,0.036660127
0.03497503404448479,0.9996756406097956,0.03667143
0.034975430951327185,0.9996756406097956,0.036683198
0.0349758278671781,0.9996756406097956,0.036684677
0.03497622479203786,0.9996756406097956,0.036753997
0.03497662172590676,0.9996756406097956,0.036914922
0.03497701866878511,0.9996756406097956,0.03695653
0.03497741562067322,0.9996756406097956,0.036976628
0.03497781258157139,0.9996756406097956,0.037035502
0.034978209551479934,0.9996756406097956,0.037100296
0.03497860653039916,0.9996756406097956,0.0371697
0.03497900351832936,0.9996756406097956,0.037193622
0.034979400515270855,0.9996756406097956,0.03721182
0.03497979752122395,0.9996756406097956,0.03721834
0.034980194536188954,0.9996756406097956,0.03722109
0.03498059156016616,0.9996756406097956,0.037256107
0.0349809885931559,0.9996756406097956,0.03741707
0.03498138563515845,0.9996756406097956,0.037461996
0.034981782686174134,0.9996756406097956,0.03753916
0.03498217974620326,0.9996756406097956,0.037557255
0.034982576815246136,0.9996756406097956,0.03757278
0.034982973893303064,0.9996756406097956,0.037624825
0.03498337098037435,0.9996756406097956,0.03763044
0.034984165181561236,0.9996756406097956,0.037646458
0.034984562295677445,0.9996756406097956,0.037674505
0.03498495941880924,0.9996756406097956,0.037711427
0.034985356550956935,0.9996756406097956,0.037763882
0.03498575369212083,0.9996756406097956,0.037821207
0.03498615084230123,0.9996756406097956,0.03782186
0.03498654800149845,0.9996756406097956,0.037860636
0.03498694516971279,0.9996756406097956,0.037880346
0.03498734234694457,0.9996756406097956,0.037915032
0.034987739533194076,0.9996756406097956,0.037920546
0.034988136728461634,0.9996756406097956,0.03794844
0.03498853393274754,0.9996756406097956,0.037976038
0.03498893114605211,0.9996756406097956,0.038041852
0.03498932836837564,0.9996756406097956,0.038085494
0.03498972559971845,0.9996756406097956,0.03812827
0.03499012284008084,0.9996756406097956,0.038165566
0.03499052008946311,0.9996756406097956,0.03821014
0.03499091734786558,0.9996756406097956,0.038244814
0.034991314615288545,0.9996756406097956,0.03825054
0.03499171189173233,0.9996756406097956,0.038266428
0.03499210917719722,0.9996756406097956,0.038272537
0.034992506471683546,0.9996756406097956,0.038275365
0.0349929037751916,0.9996756406097956,0.03830034
0.03499330108772169,0.9996756406097956,0.038317263
0.034993698409274125,0.9996756406097956,0.03833236
0.03499409573984921,0.9996756406097956,0.03834174
